speaker,text,act,conv_id,topic,topic_ldaconv,topic_ldautt
0,so um,3,0,-1,-1,-1
0,i was going to try to get out of here like in half an hour.,0,0,-1,-1,-1
0,um,3,0,-1,-1,-1
0,because i really appreciate people coming.,0,0,-1,-1,-1
0,and the main thing that i was going to ask people to help with today is to give input on what kinds of database format we should use in starting to link up things like word transcripts and annotations of word transcripts.,0,0,-1,-1,-1
0,so anything that transcribers or discourse coders or whatever put in the signal with time marks for like words and phone boundaries and all the stuff we get out of the forced alignments and the recognizer.,0,0,-1,-1,-1
0,so we have this um,2,0,-1,-1,-1
0,i think a starting point is clearly the the channelized output of dave gelbart's program.,0,0,-1,-1,-1
0,which don brought a copy of.,0,0,-1,-1,-1
1,yeah.,1,0,-1,-1,-1
0,yeah i'm i'm familiar with that.,0,0,-1,-1,-1
0,i mean we i sort of already have developed an x.m.l. format for this sort of stuff.,0,0,-1,-1,-1
1,um,3,0,-1,-1,-1
0,which,2,0,-1,-1,-1
1,can i see it?,4,0,-1,-1,-1
1,and so the only question is it the sort of thing that you want to use or not.,0,0,-1,-1,-1
0,have you looked at that?,4,0,-1,-1,-1
0,i mean i had a web page up.,0,0,-1,-1,-1
1,right.,0,0,-1,-1,-1
0,so,3,0,-1,-1,-1
0,i actually mostly need to be able to link up or,2,0,-1,-1,-1
1,so,3,0,-1,-1,-1
1,it's it's a question both of what the representation is and,2,0,-1,-1,-1
1,you mean this?,4,0,-1,-1,-1
0,i guess i am going to be standing up and drawing on the board.,0,0,-1,-1,-1
1,okay.,0,0,-1,-1,-1
0,yeah.,0,0,-1,-1,-1
0,so you should definitely.,0,0,-1,-1,-1
1,um so so it definitely had that as a concept.,0,0,-1,-1,-1
0,so it has a single timeline.,0,0,-1,-1,-1
1,uhhuh.,0,0,-1,-1,-1
1,and then you can have lots of different sections.,0,0,-1,-1,-1
0,each of which have i.d.'s attached to it.,0,0,-1,-1,-1
0,and then you can refer from other sections to those i.d.'s.,0,0,-1,-1,-1
0,if you want to.,0,0,-1,-1,-1
0,so that,2,0,-1,-1,-1
0,um,3,0,-1,-1,-1
0,so that you start with with a timeline tag.,0,0,-1,-1,-1
0,timeline.,0,0,-1,-1,-1
0,and then you have a bunch of times.,0,0,-1,-1,-1
0,i don't i don't remember exactly what my notation was.,0,0,-1,-1,-1
1,oh i remember seeing an example of this.,0,0,-1,-1,-1
1,but it,2,0,-1,-1,-1
1,right.,0,0,-1,-1,-1
0,right.,0,0,-1,-1,-1
1,yeah.,0,0,-1,-1,-1
1,yeah.,0,0,-1,-1,-1
0,t. equals one point three two.,0,0,-1,-1,-1
0,uh,3,0,-1,-1,-1
0,and then i i also had optional things like accuracy.,0,0,-1,-1,-1
0,and then i.d. equals t. one uh one seven.,0,0,-1,-1,-1
0,and then i also wanted to to be to be able to not specify specifically what the time was and just have a stamp.,0,0,-1,-1,-1
1,right.,0,0,-1,-1,-1
1,yeah so these are arbitrary assigned by a program.,0,0,-1,-1,-1
0,not not by a user.,0,0,-1,-1,-1
0,so you have a whole bunch of those.,0,0,-1,-1,-1
0,and then somewhere further down you might have something like an utterance tag.,0,0,-1,-1,-1
0,which has start equals t. seventeen.,0,0,-1,-1,-1
0,end equals t. eighteen.,0,0,-1,-1,-1
0,so what that's saying is we know it starts at this particular time.,0,0,-1,-1,-1
0,we don't know when it ends.,0,0,-1,-1,-1
1,okay.,0,0,-1,-1,-1
1,right?,4,0,-1,-1,-1
0,but it ends at this t. eighteen.,0,0,-1,-1,-1
0,which may be somewhere else.,0,0,-1,-1,-1
0,we say there's another utterance.,0,0,-1,-1,-1
0,we don't know what the time actually is.,0,0,-1,-1,-1
0,but we know that it's the same time as this end time.,0,0,-1,-1,-1
1,huh.,1,0,-1,-1,-1
1,you know thirty eight.,0,0,-1,-1,-1
0,whatever you want.,0,0,-1,-1,-1
1,so you're essentially defining a lattice.,0,0,-1,-1,-1
1,okay.,1,0,-1,-1,-1
0,yes.,0,0,-1,-1,-1
0,exactly.,0,0,-1,-1,-1
1,yeah.,1,0,-1,-1,-1
1,and then uh and then these also have i.d.'s.,0,0,-1,-1,-1
0,right?,4,0,-1,-1,-1
0,so you could you could have some sort of other other tag later in the file that would be something like um oh i don't know uh noise type equals door slam.,0,0,-1,-1,-1
0,you know?,4,0,-1,-1,-1
0,and then uh you could either say time equals a particular time mark or you could do other sorts of references.,0,0,-1,-1,-1
0,so or or you might have a prosody.,0,0,-1,-1,-1
0,prosody.,0,0,-1,-1,-1
0,right?,4,0,-1,-1,-1
0,d. ?,4,0,-1,-1,-1
0,t. ?,4,0,-1,-1,-1
1,it's an o. instead of an i. .,0,0,-1,-1,-1
0,but the d. is good.,0,0,-1,-1,-1
1,you like the d. ?,4,0,-1,-1,-1
1,yeah.,0,0,-1,-1,-1
1,that's a good d. .,0,0,-1,-1,-1
0,um,3,0,-1,-1,-1
0,you know so you could have some sort of type here.,0,0,-1,-1,-1
0,and then you could have,2,0,-1,-1,-1
0,um,3,0,-1,-1,-1
0,the utterance that it's referring to could be u. seventeen or something like that.,0,0,-1,-1,-1
1,okay.,0,0,-1,-1,-1
0,so,3,0,-1,-1,-1
0,i mean that seems that seems great for all of the encoding of things with time.,0,0,-1,-1,-1
0,and,3,0,-1,-1,-1
1,oh well.,0,0,-1,-1,-1
1,um,3,0,-1,-1,-1
0,i i guess my question is more uh what what do you do with say a forced alignment?,4,0,-1,-1,-1
0,i mean you've got all these phone labels.,0,0,-1,-1,-1
0,and what do you do if you just conceptually if you get um transcriptions where the words are staying but the time boundaries are changing because you've got a new recognition output?,4,0,-1,-1,-1
0,or sort of what's the um sequence of going from the waveforms that stay the same the transcripts that may or may not change and then the utterance which where the time boundaries that may or may not change?,4,0,-1,-1,-1
1,oh that's,2,0,-1,-1,-1
0,that's actually very nicely handled here.,0,0,-1,-1,-1
1,um,3,0,-1,-1,-1
1,because you could you could all you'd have to change is the um time stamps in the timeline without without uh changing the i.d.'s.,0,0,-1,-1,-1
1,and you'd be able to propagate all of the the information?,4,0,-1,-1,-1
1,right.,0,0,-1,-1,-1
0,that's the that's why you do that extra level of indirection.,0,0,-1,-1,-1
0,so that you can just change the timeline.,0,0,-1,-1,-1
1,except the timeline is going to be huge.,0,0,-1,-1,-1
0,if you say,2,0,-1,-1,-1
1,yes.,0,0,-1,-1,-1
1,yeah.,0,0,-1,-1,-1
0,yeah especially at the phone level.,0,0,-1,-1,-1
1,suppose you have a phone level alignment.,0,0,-1,-1,-1
1,the we we have phone level backtraces.,0,0,-1,-1,-1
1,you'd have you'd have,2,0,-1,-1,-1
1,yeah this,2,0,-1,-1,-1
0,i don't think i would do this for phone level.,0,0,-1,-1,-1
1,um,3,0,-1,-1,-1
1,i think for phone level you want to use some sort of binary representation.,0,0,-1,-1,-1
0,because it'll be too dense otherwise.,0,0,-1,-1,-1
1,okay.,3,0,-1,-1,-1
